epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,16025.1,1.22505,0.94606,1.30499,0.9604,0.89793,0.96565,0.65452,1.14756,0.61432,1.19279,0.006337,0.006337,0.006337
76,16199.6,1.21531,0.94455,1.30492,0.94295,0.92211,0.96764,0.67607,1.09805,0.59808,1.17605,0.0062875,0.0062875,0.0062875
77,16371.2,1.22033,0.94438,1.29826,0.94996,0.92831,0.96867,0.65578,1.18845,0.59657,1.2065,0.006238,0.006238,0.006238
78,16546.7,1.22411,0.92965,1.29358,0.94164,0.92968,0.96598,0.66485,1.12424,0.59646,1.18778,0.0061885,0.0061885,0.0061885
79,16720.7,1.21274,0.91473,1.29627,0.94501,0.91601,0.96555,0.66095,1.14754,0.59608,1.19885,0.006139,0.006139,0.006139
80,16891.5,1.21547,0.92119,1.29567,0.95566,0.90755,0.9685,0.66594,1.13996,0.59208,1.19366,0.0060895,0.0060895,0.0060895
81,17064,1.20942,0.91876,1.2888,0.92978,0.92981,0.96589,0.65511,1.16532,0.60718,1.1986,0.00604,0.00604,0.00604
82,17238.2,1.20465,0.90601,1.2789,0.95948,0.91823,0.97106,0.66545,1.14029,0.59065,1.18859,0.0059905,0.0059905,0.0059905
83,17412.6,1.21308,0.91947,1.28845,0.94918,0.92133,0.96668,0.66038,1.1562,0.59517,1.19781,0.005941,0.005941,0.005941
84,17587,1.20471,0.91597,1.28428,0.95419,0.91888,0.96705,0.66869,1.12094,0.59105,1.18059,0.0058915,0.0058915,0.0058915
85,17761.3,1.20371,0.91223,1.28768,0.969,0.90482,0.96817,0.66172,1.15045,0.59772,1.19274,0.005842,0.005842,0.005842
86,17936.7,1.19955,0.91379,1.28772,0.95748,0.91092,0.9643,0.65455,1.1796,0.60124,1.19474,0.0057925,0.0057925,0.0057925
87,18109.5,1.19863,0.90096,1.27685,0.95347,0.92678,0.96874,0.66857,1.13524,0.58581,1.17973,0.005743,0.005743,0.005743
88,18283,1.20127,0.91746,1.29224,0.95372,0.92414,0.97289,0.68232,1.08709,0.57902,1.16603,0.0056935,0.0056935,0.0056935
89,18461.5,1.20633,0.92155,1.29072,0.95747,0.91977,0.96887,0.67308,1.11547,0.58761,1.17509,0.005644,0.005644,0.005644
90,18634.5,1.18112,0.88529,1.26369,0.9612,0.92317,0.96884,0.66593,1.15198,0.56792,1.18394,0.0055945,0.0055945,0.0055945
91,18811.8,1.20225,0.89738,1.28474,0.9523,0.92774,0.97489,0.67331,1.12844,0.58081,1.17266,0.005545,0.005545,0.005545
92,18984.9,1.18749,0.89672,1.2742,0.95218,0.92156,0.97077,0.6744,1.12529,0.57039,1.1809,0.0054955,0.0054955,0.0054955
93,19156.3,1.17391,0.85847,1.25908,0.95551,0.92248,0.96456,0.66686,1.15615,0.58299,1.18842,0.005446,0.005446,0.005446
94,19330.1,1.20758,0.89978,1.29407,0.9603,0.92187,0.96755,0.65992,1.16142,0.58259,1.1904,0.0053965,0.0053965,0.0053965
95,19507.3,1.18831,0.89712,1.27127,0.95566,0.9257,0.9703,0.66886,1.14477,0.56958,1.18195,0.005347,0.005347,0.005347
96,19681.9,1.17647,0.89419,1.26356,0.95839,0.93318,0.97127,0.67675,1.10155,0.57098,1.16358,0.0052975,0.0052975,0.0052975
97,19855.4,1.16614,0.86457,1.25878,0.94706,0.93494,0.96936,0.66506,1.15507,0.56633,1.18401,0.005248,0.005248,0.005248
98,20028.5,1.18987,0.88407,1.28034,0.95856,0.9187,0.96955,0.66598,1.14743,0.5757,1.1827,0.0051985,0.0051985,0.0051985
99,20200.7,1.16624,0.85897,1.2643,0.94704,0.9336,0.97225,0.66678,1.14398,0.56635,1.17933,0.005149,0.005149,0.005149
100,20375.8,1.18221,0.88972,1.27509,0.96143,0.91903,0.97139,0.67683,1.11427,0.56131,1.16457,0.0050995,0.0050995,0.0050995
101,20548,1.16204,0.83945,1.25156,0.95795,0.92273,0.97264,0.67435,1.13755,0.55689,1.17173,0.00505,0.00505,0.00505
102,20723.5,1.17464,0.87079,1.26535,0.96623,0.92869,0.97336,0.67218,1.13156,0.56153,1.17692,0.0050005,0.0050005,0.0050005
103,20896.2,1.15991,0.83721,1.2577,0.95466,0.92919,0.97189,0.67431,1.12744,0.56032,1.1733,0.004951,0.004951,0.004951
104,21070,1.15697,0.85017,1.25331,0.94961,0.93583,0.97128,0.67729,1.11222,0.5486,1.16255,0.0049015,0.0049015,0.0049015
105,21244.9,1.17383,0.85061,1.26478,0.94823,0.93051,0.97142,0.66763,1.13544,0.5562,1.17348,0.004852,0.004852,0.004852
106,21419.5,1.16344,0.84722,1.2571,0.96294,0.93026,0.97097,0.66748,1.13031,0.5606,1.17018,0.0048025,0.0048025,0.0048025
107,21597.3,1.1548,0.86348,1.25234,0.96662,0.92508,0.9725,0.68075,1.10082,0.54955,1.15388,0.004753,0.004753,0.004753
108,21771.6,1.14739,0.82533,1.24843,0.96023,0.93761,0.97462,0.67753,1.11776,0.54335,1.16622,0.0047035,0.0047035,0.0047035
109,21953.6,1.16023,0.82423,1.25625,0.9614,0.93672,0.97345,0.67485,1.13023,0.54922,1.17062,0.004654,0.004654,0.004654
110,22127.4,1.16314,0.8325,1.24809,0.96323,0.93942,0.97565,0.67786,1.11528,0.53968,1.16449,0.0046045,0.0046045,0.0046045
111,22300.8,1.16364,0.85276,1.26145,0.9614,0.93488,0.9749,0.67388,1.13425,0.54521,1.16881,0.004555,0.004555,0.004555
112,22475.9,1.14545,0.82224,1.24922,0.96404,0.93797,0.97372,0.66548,1.15809,0.5512,1.17811,0.0045055,0.0045055,0.0045055
113,22646,1.165,0.84731,1.25983,0.96126,0.93692,0.97144,0.67565,1.11875,0.53932,1.16458,0.004456,0.004456,0.004456
114,22943,1.15162,0.83947,1.24675,0.9563,0.93015,0.96983,0.67699,1.12033,0.53801,1.16243,0.0044065,0.0044065,0.0044065
115,23294.9,1.15647,0.84291,1.25396,0.9577,0.93991,0.975,0.68311,1.11368,0.5352,1.16172,0.004357,0.004357,0.004357
116,23642.5,1.12907,0.80292,1.22985,0.96346,0.93304,0.97417,0.67875,1.11697,0.54298,1.16632,0.0043075,0.0043075,0.0043075
117,23990.1,1.14006,0.81485,1.24234,0.96509,0.93229,0.97545,0.67497,1.13683,0.54248,1.16964,0.004258,0.004258,0.004258
118,24336.9,1.13357,0.82239,1.23353,0.96286,0.94048,0.97558,0.68593,1.1028,0.52924,1.16004,0.0042085,0.0042085,0.0042085
119,24683.7,1.13679,0.82025,1.23891,0.96192,0.94701,0.97868,0.6859,1.10494,0.5242,1.16563,0.004159,0.004159,0.004159
120,25030.1,1.13915,0.83183,1.23727,0.96356,0.93707,0.97528,0.68008,1.1186,0.53619,1.1634,0.0041095,0.0041095,0.0041095
121,25377.3,1.12489,0.79527,1.23081,0.96786,0.93798,0.97444,0.68811,1.08739,0.52937,1.15119,0.00406,0.00406,0.00406
122,25726.3,1.14135,0.79861,1.23561,0.96737,0.94183,0.9758,0.68768,1.10194,0.52855,1.15727,0.0040105,0.0040105,0.0040105
123,26081.9,1.13549,0.81534,1.23694,0.9626,0.94779,0.9754,0.68289,1.12882,0.53779,1.16469,0.003961,0.003961,0.003961
124,26429.5,1.1281,0.8014,1.23575,0.95612,0.93962,0.97519,0.68179,1.11886,0.53805,1.16268,0.0039115,0.0039115,0.0039115
125,26776.4,1.11803,0.80146,1.22829,0.94805,0.95124,0.9745,0.68691,1.10333,0.53026,1.15783,0.003862,0.003862,0.003862
126,27123.4,1.12316,0.78422,1.22484,0.94727,0.95226,0.9737,0.69286,1.08322,0.52469,1.14969,0.0038125,0.0038125,0.0038125
127,27470.8,1.11746,0.78061,1.22324,0.97065,0.94382,0.97523,0.68651,1.10515,0.5187,1.15227,0.003763,0.003763,0.003763
128,27819.1,1.11351,0.78218,1.22038,0.96456,0.94538,0.97764,0.68718,1.10341,0.51963,1.15114,0.0037135,0.0037135,0.0037135
129,28168.1,1.12546,0.7917,1.22736,0.96434,0.94916,0.97386,0.68414,1.10154,0.51788,1.1532,0.003664,0.003664,0.003664
130,28515.8,1.11997,0.78767,1.22241,0.96283,0.94612,0.97641,0.6924,1.08156,0.511,1.14597,0.0036145,0.0036145,0.0036145
131,28829.5,1.11767,0.78489,1.2196,0.97182,0.94552,0.97629,0.68774,1.09868,0.51456,1.14943,0.003565,0.003565,0.003565
132,29030.3,1.12105,0.7951,1.23408,0.96012,0.94276,0.97625,0.68532,1.09921,0.51669,1.15312,0.0035155,0.0035155,0.0035155
133,29376.2,1.11557,0.78119,1.22059,0.96372,0.94145,0.97713,0.68556,1.08687,0.5135,1.1456,0.003466,0.003466,0.003466
134,29754.5,1.11269,0.78376,1.22636,0.95851,0.95165,0.97734,0.683,1.10862,0.51848,1.15881,0.0034165,0.0034165,0.0034165
135,30122.3,1.11899,0.7929,1.22842,0.96344,0.94211,0.9763,0.68602,1.10177,0.5149,1.15507,0.003367,0.003367,0.003367
136,30489.6,1.09808,0.77124,1.21301,0.96746,0.94352,0.97613,0.69319,1.08111,0.51055,1.14476,0.0033175,0.0033175,0.0033175
137,30854.4,1.11867,0.78442,1.22727,0.96963,0.9345,0.9754,0.69285,1.08611,0.51515,1.14478,0.003268,0.003268,0.003268
138,31219.1,1.10392,0.77425,1.21042,0.96277,0.94829,0.97598,0.69501,1.07516,0.50881,1.14223,0.0032185,0.0032185,0.0032185
139,31584.5,1.10182,0.7674,1.2106,0.96722,0.94354,0.97693,0.69072,1.08652,0.50779,1.14465,0.003169,0.003169,0.003169
140,31949.8,1.10482,0.7742,1.21847,0.96715,0.94689,0.97571,0.68957,1.0944,0.50672,1.14802,0.0031195,0.0031195,0.0031195
141,32316.3,1.08629,0.75173,1.20342,0.96905,0.94845,0.97697,0.69086,1.08743,0.50492,1.144,0.00307,0.00307,0.00307
142,32681.8,1.09973,0.77434,1.21468,0.97052,0.94239,0.97526,0.69584,1.07882,0.50668,1.14378,0.0030205,0.0030205,0.0030205
143,33047.7,1.10042,0.76164,1.21605,0.97211,0.94177,0.97573,0.69337,1.08116,0.50359,1.14505,0.002971,0.002971,0.002971
144,33428.8,1.0954,0.76108,1.2147,0.97115,0.9419,0.97663,0.69122,1.08887,0.50288,1.14926,0.0029215,0.0029215,0.0029215
145,33795,1.08687,0.75833,1.20117,0.97038,0.94599,0.97785,0.69146,1.08715,0.50731,1.14665,0.002872,0.002872,0.002872
146,34159.7,1.08055,0.7639,1.19498,0.97273,0.94333,0.97884,0.69647,1.08131,0.50229,1.14281,0.0028225,0.0028225,0.0028225
