epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1325.63,1.3718,1.03314,1.38866,0.94542,0.93344,0.95357,0.64039,1.22527,0.73123,1.22157,0.000389445,0.000389445,0.000389445
71,1343.92,1.35683,1.0112,1.37265,0.91264,0.9289,0.95253,0.62747,1.25491,0.7402,1.22365,0.000376885,0.000376885,0.000376885
72,1361.21,1.35654,1.02554,1.37009,0.91165,0.9132,0.94367,0.62585,1.23535,0.77599,1.21696,0.000364412,0.000364412,0.000364412
73,1379.14,1.35532,1.013,1.36881,0.93019,0.91776,0.95069,0.65512,1.14292,0.71947,1.1888,0.000352037,0.000352037,0.000352037
74,1397.25,1.35103,1.00374,1.3698,0.92671,0.94671,0.95222,0.6365,1.2019,0.71952,1.21569,0.000339766,0.000339766,0.000339766
75,1414.11,1.36404,1.0216,1.3635,0.93666,0.93879,0.9597,0.6313,1.28141,0.7159,1.24727,0.000327608,0.000327608,0.000327608
76,1431.06,1.35202,1.01989,1.35416,0.92053,0.92729,0.94192,0.62406,1.25823,0.71874,1.24294,0.000315572,0.000315572,0.000315572
77,1448.37,1.31271,0.98509,1.33438,0.94046,0.9111,0.95338,0.62037,1.26013,0.74442,1.22736,0.000303665,0.000303665,0.000303665
78,1465.46,1.31953,0.98076,1.34086,0.96387,0.94938,0.96809,0.634,1.2374,0.69109,1.2229,0.000291897,0.000291897,0.000291897
79,1483.33,1.33539,0.99946,1.35333,0.92704,0.92795,0.9561,0.6304,1.2448,0.72568,1.22892,0.000280275,0.000280275,0.000280275
80,1500.99,1.32721,1.02675,1.35675,0.93219,0.93698,0.94759,0.5746,1.39342,0.76004,1.29744,0.000268806,0.000268806,0.000268806
81,1517.81,1.30587,0.96128,1.33091,0.90729,0.92591,0.948,0.61526,1.30886,0.74835,1.24802,0.0002575,0.0002575,0.0002575
82,1535.61,1.29294,0.97308,1.33647,0.92762,0.92046,0.95453,0.63298,1.2143,0.73027,1.21696,0.000246363,0.000246363,0.000246363
83,1552.19,1.31449,0.96733,1.32737,0.91211,0.92234,0.94634,0.61784,1.24668,0.74632,1.21726,0.000235404,0.000235404,0.000235404
84,1569.42,1.28849,0.96721,1.32204,0.92444,0.92406,0.93704,0.6166,1.23886,0.76568,1.22909,0.000224629,0.000224629,0.000224629
85,1587.16,1.27948,0.93543,1.31246,0.93063,0.92976,0.94565,0.59482,1.30285,0.73252,1.25299,0.000214046,0.000214046,0.000214046
86,1604.03,1.28597,0.93447,1.31288,0.89608,0.92887,0.94302,0.61841,1.24232,0.73101,1.21764,0.000203663,0.000203663,0.000203663
87,1620.98,1.28332,0.91668,1.31658,0.9195,0.93352,0.9562,0.62863,1.24031,0.71189,1.23007,0.000193486,0.000193486,0.000193486
88,1638.52,1.28628,0.9246,1.32009,0.91827,0.91811,0.93593,0.59553,1.30644,0.77085,1.25281,0.000183523,0.000183523,0.000183523
