epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,9567.01,1.16016,0.83619,1.23694,0.95987,0.93825,0.97749,0.72838,0.94887,0.51182,1.12075,0.005149,0.005149,0.005149
100,9659.33,1.16356,0.85577,1.23237,0.95623,0.94444,0.97862,0.73177,0.93741,0.50553,1.11673,0.0050995,0.0050995,0.0050995
101,9751.72,1.15099,0.83559,1.22982,0.96499,0.94237,0.97927,0.73717,0.92482,0.50619,1.11867,0.00505,0.00505,0.00505
102,9843.83,1.1561,0.86396,1.23134,0.96474,0.9289,0.98021,0.73354,0.9241,0.50647,1.11378,0.0050005,0.0050005,0.0050005
103,9935.61,1.16,0.84852,1.23848,0.97055,0.93846,0.98129,0.72831,0.9454,0.51005,1.12274,0.004951,0.004951,0.004951
104,10028.8,1.15105,0.83196,1.22838,0.95533,0.94487,0.97924,0.73524,0.90568,0.51127,1.10547,0.0049015,0.0049015,0.0049015
105,10121.2,1.16255,0.8408,1.22982,0.96507,0.9321,0.97952,0.72523,0.95466,0.50909,1.12154,0.004852,0.004852,0.004852
106,10213.1,1.14274,0.82758,1.22082,0.96452,0.92815,0.97581,0.72441,0.96144,0.50551,1.12092,0.0048025,0.0048025,0.0048025
107,10305.9,1.14583,0.85626,1.22804,0.9651,0.93392,0.97737,0.72955,0.93752,0.50406,1.11355,0.004753,0.004753,0.004753
108,10397.5,1.13644,0.82134,1.21872,0.96235,0.94637,0.97999,0.73677,0.92806,0.49673,1.11052,0.0047035,0.0047035,0.0047035
109,10490.1,1.15648,0.82967,1.22832,0.9587,0.94567,0.97875,0.72714,0.95768,0.50416,1.11598,0.004654,0.004654,0.004654
110,10581.4,1.15294,0.83219,1.22788,0.95874,0.94512,0.97734,0.72486,0.96589,0.50562,1.11808,0.0046045,0.0046045,0.0046045
111,10673.4,1.13339,0.81338,1.2152,0.96491,0.93674,0.97797,0.73268,0.94371,0.49796,1.11028,0.004555,0.004555,0.004555
112,10765.6,1.15093,0.81237,1.22158,0.9669,0.94023,0.9791,0.73428,0.92854,0.49432,1.10594,0.0045055,0.0045055,0.0045055
113,10857.6,1.1493,0.82292,1.22783,0.96336,0.94039,0.97762,0.72722,0.9538,0.50901,1.11572,0.004456,0.004456,0.004456
114,10951,1.13911,0.82839,1.2221,0.9579,0.93683,0.9748,0.72645,0.95805,0.49859,1.11695,0.0044065,0.0044065,0.0044065
115,11043.1,1.14491,0.80681,1.22536,0.94887,0.93918,0.97263,0.72769,0.94071,0.49672,1.10916,0.004357,0.004357,0.004357
116,11135.1,1.13385,0.8128,1.22055,0.96375,0.93604,0.97704,0.73059,0.92704,0.49309,1.10913,0.0043075,0.0043075,0.0043075
117,11227.5,1.12605,0.80513,1.21638,0.95101,0.94862,0.97123,0.7318,0.9108,0.49905,1.10073,0.004258,0.004258,0.004258
118,11320.2,1.12865,0.80867,1.21744,0.95555,0.94604,0.96714,0.73238,0.89387,0.49695,1.0962,0.0042085,0.0042085,0.0042085
119,11413.8,1.11455,0.78398,1.20945,0.9602,0.94823,0.97659,0.73579,0.91581,0.48556,1.10297,0.004159,0.004159,0.004159
120,11506.7,1.14707,0.8268,1.22521,0.96305,0.94946,0.98046,0.73025,0.94836,0.49569,1.10624,0.0041095,0.0041095,0.0041095
121,11598.3,1.1273,0.79776,1.21333,0.96441,0.94024,0.97952,0.74275,0.91165,0.48906,1.10013,0.00406,0.00406,0.00406
122,11690.6,1.11957,0.79643,1.20765,0.9645,0.94518,0.97771,0.74598,0.90412,0.48532,1.10071,0.0040105,0.0040105,0.0040105
123,11782,1.12062,0.80032,1.20877,0.96229,0.93532,0.97982,0.7504,0.89225,0.47845,1.09477,0.003961,0.003961,0.003961
124,11875.4,1.13108,0.79893,1.21783,0.96529,0.93929,0.97941,0.74626,0.90336,0.47931,1.10186,0.0039115,0.0039115,0.0039115
125,11967.2,1.11737,0.79883,1.21039,0.97359,0.93311,0.98091,0.74592,0.90206,0.47682,1.09661,0.003862,0.003862,0.003862
126,12062,1.10878,0.7645,1.2037,0.96434,0.93841,0.97874,0.7423,0.92412,0.47634,1.10177,0.0038125,0.0038125,0.0038125
127,12155.7,1.12332,0.78545,1.21246,0.96396,0.94538,0.97895,0.74219,0.92125,0.47788,1.10402,0.003763,0.003763,0.003763
128,12248.2,1.10491,0.7705,1.20078,0.96709,0.95084,0.97883,0.74144,0.92023,0.47257,1.10191,0.0037135,0.0037135,0.0037135
129,12341.9,1.11209,0.77796,1.19716,0.96864,0.94825,0.9813,0.7439,0.91037,0.4758,1.09612,0.003664,0.003664,0.003664
130,12433.6,1.1061,0.78837,1.20161,0.97294,0.94415,0.98166,0.75037,0.90576,0.47535,1.09581,0.0036145,0.0036145,0.0036145
131,12526.1,1.0969,0.77767,1.19842,0.97092,0.93943,0.98241,0.74856,0.89806,0.47515,1.08977,0.003565,0.003565,0.003565
132,12618.2,1.09671,0.76545,1.19556,0.96634,0.94512,0.97913,0.74066,0.92572,0.4799,1.09913,0.0035155,0.0035155,0.0035155
133,12709.5,1.10082,0.78197,1.20129,0.96579,0.94001,0.97806,0.73502,0.94167,0.47966,1.1041,0.003466,0.003466,0.003466
134,12801.5,1.09564,0.77202,1.19575,0.97017,0.93848,0.97897,0.73873,0.92726,0.4745,1.09999,0.0034165,0.0034165,0.0034165
135,12893.6,1.09446,0.78022,1.20204,0.96597,0.94434,0.97842,0.73015,0.95945,0.483,1.10633,0.003367,0.003367,0.003367
136,12986.1,1.09922,0.78082,1.20113,0.96846,0.94081,0.97963,0.73121,0.95772,0.4852,1.10423,0.0033175,0.0033175,0.0033175
137,13077.7,1.08549,0.7704,1.19569,0.96136,0.94994,0.97917,0.72877,0.96525,0.48189,1.10847,0.003268,0.003268,0.003268
138,13169.6,1.07531,0.76222,1.18649,0.96267,0.94089,0.98008,0.72333,0.97343,0.48261,1.11254,0.0032185,0.0032185,0.0032185
139,13262.2,1.09488,0.77036,1.19499,0.97018,0.93887,0.97942,0.71867,0.99777,0.48472,1.11633,0.003169,0.003169,0.003169
140,13354.3,1.08478,0.77336,1.18722,0.9657,0.94412,0.97947,0.71606,0.99702,0.48648,1.11811,0.0031195,0.0031195,0.0031195
141,13446.1,1.0672,0.7566,1.18612,0.97155,0.94254,0.98233,0.72331,0.98598,0.48323,1.11461,0.00307,0.00307,0.00307
142,13538.4,1.0893,0.75961,1.19051,0.97249,0.9422,0.98105,0.72141,0.9994,0.48022,1.11838,0.0030205,0.0030205,0.0030205
143,13630.5,1.08669,0.77092,1.20002,0.97405,0.93873,0.98134,0.71832,0.99553,0.47737,1.11588,0.002971,0.002971,0.002971
144,13723.6,1.07759,0.77457,1.19162,0.9734,0.94064,0.9793,0.71567,1.01306,0.4823,1.12254,0.0029215,0.0029215,0.0029215
145,13815.2,1.06481,0.7382,1.17831,0.96745,0.94329,0.97955,0.71343,1.01683,0.48744,1.12431,0.002872,0.002872,0.002872
146,13907.5,1.0799,0.75875,1.18517,0.97115,0.93767,0.97739,0.70958,1.02427,0.4896,1.12458,0.0028225,0.0028225,0.0028225
147,13998.8,1.07224,0.75561,1.187,0.97106,0.9406,0.98027,0.7104,1.01591,0.487,1.12466,0.002773,0.002773,0.002773
148,14090.1,1.06429,0.73522,1.17185,0.97497,0.93765,0.97742,0.70762,1.02651,0.48976,1.1266,0.0027235,0.0027235,0.0027235
149,14182.4,1.05109,0.73194,1.17033,0.97653,0.94151,0.98038,0.71149,1.01923,0.48738,1.1261,0.002674,0.002674,0.002674
150,14273.8,1.05711,0.74184,1.17461,0.97301,0.93772,0.97886,0.70517,1.04049,0.49216,1.13199,0.0026245,0.0026245,0.0026245
151,14365.7,1.06061,0.74586,1.17545,0.97262,0.93867,0.97934,0.70226,1.05489,0.49313,1.13383,0.002575,0.002575,0.002575
152,14457.4,1.04877,0.74087,1.1728,0.96745,0.94209,0.97889,0.70228,1.05428,0.48733,1.13284,0.0025255,0.0025255,0.0025255
153,14549.9,1.05035,0.74453,1.17495,0.9626,0.94884,0.98014,0.7076,1.04471,0.48683,1.13059,0.002476,0.002476,0.002476
